triple,both_id,men_id,women_id,months,max_abs_error_000s,status
orig=Central American | Employed,LNU02083429,LNU02083430,LNU02083431,149,1.0,OK
orig=Central American | Civilian labor force,LNU01083429,LNU01083430,LNU01083431,149,1.0,OK
orig=Central American | Civilian noninstitutional population,LNU00083429,LNU00083430,LNU00083431,149,1.0,OK
orig=Other Hispanic or Latino | Not in labor force,LNU05083441,LNU05083442,LNU05083443,149,1.0,OK
orig=Other Hispanic or Latino (excludes Dominican) | Civilian labor force,LNU01083447,LNU01083448,LNU01083449,149,1.0,OK
seek=Job Seeker (Looking for work) | Unemployed,LNU03023757,LNU03023767,LNU03023777,175,1.0,OK
orig=Other Hispanic or Latino (excludes Dominican) | Employed,LNU02083447,LNU02083448,LNU02083449,149,1.0,OK
race=Asian | Not in labor force,LNU05032183,LNU05032301,LNU05032342,317,1.0,OK
race=Asian | Unemployed looking for part-time work,LNU03232183,LNU03232301,LNU03232342,317,1.0,OK
race=Asian | Unemployed looking for full-time work,LNU03132183,LNU03132301,LNU03132342,317,1.0,OK
race=Asian | Unemployed,LNU03032183,LNU03032301,LNU03032342,317,1.0,OK
race=Asian | Employed part time (persons who usually work less than 35 hours),LNU02632183,LNU02632301,LNU02632342,317,1.0,OK
race=Asian | Employed full time (persons who usually work 35 hours or more),LNU02532183,LNU02532301,LNU02532342,317,1.0,OK
race=Asian | Employed,LNU02032183,LNU02032301,LNU02032342,317,1.0,OK
race=Asian | Civilian labor force,LNU01032183,LNU01032301,LNU01032342,317,1.0,OK
race=Asian | Civilian noninstitutional population,LNU00032183,LNU00032301,LNU00032342,317,1.0,OK
race=Black or African American | Not in labor force,LNU05000006,LNU05000007,LNU05000008,600,1.0,OK
race=Black or African American | Unemployed,LNU03000006,LNU03000007,LNU03000008,653,1.0,OK
race=Black or African American | Employed part time (persons who usually work less than 35 hours),LNU02600006,LNU02600007,LNU02600008,101,1.0,OK
race=Black or African American | Employed full time (persons who usually work 35 hours or more),LNU02500006,LNU02500007,LNU02500008,101,1.0,OK
race=Black or African American | Employed,LNU02000006,LNU02000007,LNU02000008,653,1.0,OK
race=White | Unemployed looking for full-time work,LNU03100003,LNU03100004,LNU03100005,600,1.0,OK
race=White | Employed part time (persons who usually work less than 35 hours),LNU02600003,LNU02600004,LNU02600005,101,1.0,OK
race=White | Employed full time (persons who usually work 35 hours or more),LNU02500003,LNU02500004,LNU02500005,101,1.0,OK
orig=Other Hispanic or Latino (excludes Dominican) | Not in labor force,LNU05083447,LNU05083448,LNU05083449,149,1.0,OK
"mjhs=Multiple job holders, primary job full time, secondary job part time | Employed",LNU02026625,LNU02026626,LNU02026627,389,1.0,OK
"mjhs=Multiple job holders, primary and secondary job both part time | Employed",LNU02026628,LNU02026629,LNU02026630,389,1.0,OK
education=Bachelor's degree only | Unemployed,LNU03092221,LNU03092226,LNU03092231,126,1.0,OK
mjhs=Multiple job holders | Employed,LNU02026619,LNU02026621,LNU02026623,389,1.0,OK
ages=30 to 34 years | Not in labor force,LNU05024933,LNU05000171,LNU05000332,533,1.0,OK
ages=30 to 34 years | Employed,LNU02024933,LNU02000171,LNU02000332,545,1.0,OK
ages=30 to 34 years | Civilian labor force,LNU01024933,LNU01000171,LNU01000332,545,1.0,OK
ages=30 to 34 years | Civilian noninstitutional population,LNU00024933,LNU00000171,LNU00000332,545,1.0,OK
ages=25 to 54 years | Not in labor force,LNU05000060,LNU05000061,LNU05000062,533,1.0,OK
ages=25 to 54 years | Civilian noninstitutional population,LNU00000060,LNU00000061,LNU00000062,941,1.0,OK
ages=25 to 29 years | Not in labor force,LNU05024932,LNU05000163,LNU05000326,533,1.0,OK
ages=25 to 29 years | Unemployed,LNU03024932,LNU03000163,LNU03000326,545,1.0,OK
ages=25 to 29 years | Employed,LNU02024932,LNU02000163,LNU02000326,545,1.0,OK
ages=25 to 29 years | Civilian labor force,LNU01024932,LNU01000163,LNU01000326,545,1.0,OK
ages=25 to 29 years | Civilian noninstitutional population,LNU00024932,LNU00000163,LNU00000326,545,1.0,OK
ages=25 years and over | Civilian noninstitutional population,LNU00000048,LNU00000049,LNU00000050,941,1.0,OK
ages=20 years and over | Unemployed looking for part-time work,LNU03200024,LNU03200025,LNU03200026,600,1.0,OK
ages=20 years and over | Unemployed looking for full-time work,LNU03100024,LNU03100025,LNU03100026,600,1.0,OK
ages=20 years and over | Civilian labor force,LNU01000024,LNU01000025,LNU01000026,941,1.0,OK
ages=18 years and over | Not in labor force,LNU05076975,LNU05076980,LNU05076985,210,1.0,OK
ages=18 years and over | Unemployed,LNU03076975,LNU03076980,LNU03076985,210,1.0,OK
ages=18 years and over | Employed,LNU02076975,LNU02076980,LNU02076985,210,1.0,OK
ages=30 to 34 years | Unemployed,LNU03024933,LNU03000171,LNU03000332,545,1.0,OK
ages=35 to 39 years | Civilian noninstitutional population,LNU00024934,LNU00000172,LNU00000333,545,1.0,OK
"mari=Widowed, divorced, and separated (including married, spouse absent) | Not in labor force",LNU05028151,LNU05000151,LNU05000316,281,1.0,OK
ages=35 to 39 years | Civilian labor force,LNU01024934,LNU01000172,LNU01000333,545,1.0,OK
ages=50 to 54 years | Unemployed,LNU03024937,LNU03000188,LNU03000345,545,1.0,OK
ages=50 to 54 years | Employed,LNU02024937,LNU02000188,LNU02000345,545,1.0,OK
ages=50 to 54 years | Civilian labor force,LNU01024937,LNU01000188,LNU01000345,545,1.0,OK
ages=50 to 54 years | Civilian noninstitutional population,LNU00024937,LNU00000188,LNU00000345,545,1.0,OK
ages=45 to 49 years | Not in labor force,LNU05024936,LNU05000181,LNU05000340,533,1.0,OK
ages=45 to 49 years | Unemployed,LNU03024936,LNU03000181,LNU03000340,545,1.0,OK
ages=45 to 49 years | Employed,LNU02024936,LNU02000181,LNU02000340,545,1.0,OK
ages=45 to 49 years | Civilian labor force,LNU01024936,LNU01000181,LNU01000340,545,1.0,OK
ages=45 to 49 years | Civilian noninstitutional population,LNU00024936,LNU00000181,LNU00000340,545,1.0,OK
ages=40 to 44 years | Not in labor force,LNU05024935,LNU05000179,LNU05000338,533,1.0,OK
ages=40 to 44 years | Unemployed,LNU03024935,LNU03000179,LNU03000338,545,1.0,OK
ages=40 to 44 years | Employed,LNU02024935,LNU02000179,LNU02000338,545,1.0,OK
ages=40 to 44 years | Civilian labor force,LNU01024935,LNU01000179,LNU01000338,545,1.0,OK
ages=40 to 44 years | Civilian noninstitutional population,LNU00024935,LNU00000179,LNU00000338,545,1.0,OK
ages=35 to 39 years | Not in labor force,LNU05024934,LNU05000172,LNU05000333,533,1.0,OK
ages=35 to 39 years | Unemployed,LNU03024934,LNU03000172,LNU03000333,545,1.0,OK
ages=35 to 39 years | Employed,LNU02024934,LNU02000172,LNU02000333,545,1.0,OK
ages=18 years and over | Civilian labor force,LNU01076975,LNU01076980,LNU01076985,210,1.0,OK
ages=18 years and over | Civilian noninstitutional population,LNU00076975,LNU00076980,LNU00076985,210,1.0,OK
ages=18 to 19 years | Civilian labor force,LNU01000088,LNU01000154,LNU01000319,941,1.0,OK
ages=16 to 24 years | Not in labor force,LNU05024887,LNU05024885,LNU05024886,281,1.0,OK
activity=Enrolled in School | Civilian noninstitutional population,LNU00022967,LNU00022979,LNU00022985,497,1.0,OK
ALL 16+ | Not in Labor Force to other Marginal Outflows,LNU08400000,LNU08400001,LNU08400002,435,1.0,OK
ALL 16+ | Unemployed to other Marginal Outflows,LNU08300000,LNU08300001,LNU08300002,435,1.0,OK
ALL 16+ | Employed to other Marginal Outflows,LNU08200000,LNU08200001,LNU08200002,435,1.0,OK
ALL 16+ | Marginal Inflows to Not in Labor Force,LNU08100000,LNU08100001,LNU08100002,435,1.0,OK
ALL 16+ | Labor Force Flows Not in Labor Force to Not in Labor Force,LNU08000000,LNU08000001,LNU08000002,435,1.0,OK
ALL 16+ | Labor Force Flows Unemployed to Not in Labor Force,LNU07900000,LNU07900001,LNU07900002,435,1.0,OK
ALL 16+ | Labor Force Flows Employed to Not in Labor Force,LNU07800000,LNU07800001,LNU07800002,435,1.0,OK
ALL 16+ | Marginal Inflows to Unemployed,LNU07700000,LNU07700001,LNU07700002,435,1.0,OK
ALL 16+ | Labor Force Flows Not in Labor Force to Unemployed,LNU07600000,LNU07600001,LNU07600002,435,1.0,OK
ALL 16+ | Labor Force Flows Unemployed to Unemployed,LNU07500000,LNU07500001,LNU07500002,435,1.0,OK
ALL 16+ | Labor Force Flows Employed to Unemployed,LNU07400000,LNU07400001,LNU07400002,435,1.0,OK
ALL 16+ | Marginal Inflows to Employed,LNU07300000,LNU07300001,LNU07300002,435,1.0,OK
ALL 16+ | Labor Force Flows Not in Labor Force to Employed,LNU07200000,LNU07200001,LNU07200002,435,1.0,OK
ALL 16+ | Labor Force Flows Unemployed to Employed,LNU07100000,LNU07100001,LNU07100002,435,1.0,OK
ALL 16+ | Labor Force Flows Employed to Employed,LNU07000000,LNU07000001,LNU07000002,435,1.0,OK
ALL 16+ | Unemployed,LNU03000000,LNU03000001,LNU03000002,941,1.0,OK
activity=Enrolled in School | Civilian labor force,LNU01022967,LNU01022979,LNU01022985,497,1.0,OK
activity=Enrolled in School | Employed,LNU02022967,LNU02022979,LNU02022985,497,1.0,OK
activity=Enrolled in School | Employed full time (persons who usually work 35 hours or more),LNU02522967,LNU02522979,LNU02522985,497,1.0,OK
activity=Not Enrolled | Unemployed,LNU03023016,LNU03023048,LNU03023059,497,1.0,OK
ages=16 to 24 years | Unemployed looking for part-time work,LNU03224887,LNU03224885,LNU03224886,281,1.0,OK
ages=16 to 24 years | Unemployed looking for full-time work,LNU03124887,LNU03124885,LNU03124886,281,1.0,OK
ages=16 to 24 years | Unemployed,LNU03024887,LNU03024885,LNU03024886,941,1.0,OK
ages=16 to 24 years | Employed,LNU02024887,LNU02024885,LNU02024886,941,1.0,OK
ages=16 to 24 years | Civilian noninstitutional population,LNU00024887,LNU00024885,LNU00024886,941,1.0,OK
activity=Not Enrolled | Unemployed looking for part-time work,LNU03223016,LNU03223048,LNU03223059,497,1.0,OK
activity=Not Enrolled | Unemployed looking for full-time work,LNU03123016,LNU03123048,LNU03123059,497,1.0,OK
activity=Not Enrolled | Employed part time (persons who usually work less than 35 hours),LNU02623016,LNU02623048,LNU02623059,497,1.0,OK
activity=Enrolled in School | Employed part time (persons who usually work less than 35 hours),LNU02622967,LNU02622979,LNU02622985,497,1.0,OK
activity=Not Enrolled | Employed full time (persons who usually work 35 hours or more),LNU02523016,LNU02523048,LNU02523059,497,1.0,OK
activity=Not Enrolled | Employed,LNU02023016,LNU02023048,LNU02023059,497,1.0,OK
activity=Not Enrolled | Civilian labor force,LNU01023016,LNU01023048,LNU01023059,497,1.0,OK
activity=Not Enrolled | Civilian noninstitutional population,LNU00023016,LNU00023048,LNU00023059,497,1.0,OK
activity=Enrolled in School | Unemployed looking for part-time work,LNU03222967,LNU03222979,LNU03222985,497,1.0,OK
activity=Enrolled in School | Unemployed looking for full-time work,LNU03122967,LNU03122979,LNU03122985,497,1.0,OK
activity=Enrolled in School | Unemployed,LNU03022967,LNU03022979,LNU03022985,497,1.0,OK
ages=50 to 54 years | Not in labor force,LNU05024937,LNU05000188,LNU05000345,533,1.0,OK
ages=55 years and over | Civilian noninstitutional population,LNU00024230,LNU00024231,LNU00024232,941,1.0,OK
ages=55 to 64 years | Unemployed,LNU03000095,LNU03000190,LNU03000347,941,1.0,OK
indy=Social assistance | Employed,LNU02037301,LNU02037846,LNU02037940,521,1.0,OK
"indy=Health service, except hospitals | Employed",LNU02037300,LNU02037845,LNU02037939,521,1.0,OK
indy=Health care and social assistance | Employed,LNU02037298,LNU02037843,LNU02037937,521,1.0,OK
indy=Educational services | Employed,LNU02037297,LNU02037842,LNU02037936,521,1.0,OK
"indy=Management, administrative, and waste services | Employed",LNU02037294,LNU02037840,LNU02037934,521,1.0,OK
indy=Professional and technical services | Employed,LNU02037293,LNU02037839,LNU02037933,521,1.0,OK
indy=Real estate and rental and leasing | Employed,LNU02037290,LNU02037837,LNU02037931,521,1.0,OK
indy=Finance and insurance | Employed,LNU02037287,LNU02037836,LNU02037930,521,1.0,OK
indy=Utilities | Employed,LNU02037280,LNU02037833,LNU02037927,521,1.0,OK
"indy=Agriculture, forestry, fishing, and hunting | Employed",LNU62034560,LNU62035117,LNU62035121,204,1.0,OK
entr=New entrants | Unemployed,LNU03023569,LNU03023740,LNU03023744,175,1.0,OK
entr=Reentrants | Unemployed,LNU03023557,LNU03023739,LNU03023743,175,1.0,OK
education=Advanced degree | Not in labor force,LNU05091113,LNU05091114,LNU05091115,138,1.0,OK
education=Advanced degree | Unemployed,LNU03091113,LNU03091114,LNU03091115,138,1.0,OK
education=Advanced degree | Employed,LNU02091113,LNU02091114,LNU02091115,138,1.0,OK
education=Advanced degree | Civilian labor force,LNU01091113,LNU01091114,LNU01091115,138,1.0,OK
education=Advanced degree | Civilian noninstitutional population,LNU00091113,LNU00091114,LNU00091115,138,1.0,OK
education=Bachelor's degree only | Not in labor force,LNU05092221,LNU05092226,LNU05092231,126,1.0,OK
indy=Hospitals | Employed,LNU02037299,LNU02037844,LNU02037938,521,1.0,OK
"indy=Arts, entertainment, and recreation | Employed",LNU02037302,LNU02037848,LNU02037942,521,1.0,OK
ages=55 to 64 years | Not in labor force,LNU05000095,LNU05000190,LNU05000347,600,1.0,OK
indy=Accommodation and food services | Employed,LNU02037303,LNU02037849,LNU02037943,521,1.0,OK
"mari=Widowed, divorced, and separated (including married, spouse absent) | Unemployed",LNU03028151,LNU03000151,LNU03000316,281,1.0,OK
"mari=Widowed, divorced, and separated (including married, spouse absent) | Employed",LNU02028151,LNU02000151,LNU02000316,281,1.0,OK
"mari=Widowed, divorced, and separated (including married, spouse absent) | Civilian labor force",LNU01028151,LNU01000151,LNU01000316,281,1.0,OK
"mari=Widowed, divorced, and separated (including married, spouse absent) | Civilian noninstitutional population",LNU00028151,LNU00000151,LNU00000316,281,1.0,OK
"mari=Married, spouse present | Not in labor force",LNU05025669,LNU05000150,LNU05000315,281,1.0,OK
"mari=Married, spouse present | Unemployed",LNU03025669,LNU03000150,LNU03000315,857,1.0,OK
"mari=Married, spouse present | Employed",LNU02025669,LNU02000150,LNU02000315,785,1.0,OK
"mari=Married, spouse present | Civilian labor force",LNU01025669,LNU01000150,LNU01000315,857,1.0,OK
"mari=Married, spouse present | Civilian noninstitutional population",LNU00025669,LNU00000150,LNU00000315,281,1.0,OK
mari=Never married | Not in labor force,LNU05027990,LNU05000149,LNU05000314,281,1.0,OK
mari=Never married | Unemployed,LNU03027990,LNU03000149,LNU03000314,281,1.0,OK
mari=Never married | Employed,LNU02027990,LNU02000149,LNU02000314,281,1.0,OK
mari=Never married | Civilian labor force,LNU01027990,LNU01000149,LNU01000314,281,1.0,OK
mari=Never married | Civilian noninstitutional population,LNU00027990,LNU00000149,LNU00000314,281,1.0,OK
jdes=Don't want a job now | Not in labor force,LNU05027039,LNU05027043,LNU05027044,389,1.0,OK
jdes=Want a job now | Not in labor force,LNU05026639,LNU05026640,LNU05026641,389,1.0,OK
indy=Private households | Employed,LNU02034578,LNU02037852,LNU02037946,521,1.0,OK
ALL 16+ | Civilian labor force,LNU01000000,LNU01000001,LNU01000002,941,1.0,OK
education=Bachelor's degree only | Employed,LNU02092221,LNU02092226,LNU02092231,126,1.0,OK
education=Bachelor's degree only | Civilian labor force,LNU01092221,LNU01092226,LNU01092231,126,1.0,OK
education=Bachelor's degree only | Civilian noninstitutional population,LNU00092221,LNU00092226,LNU00092231,126,1.0,OK
ages=75 years and over | Not in labor force,LNU05024942,LNU05015346,LNU05015349,473,1.0,OK
ages=75 years and over | Unemployed,LNU03024942,LNU03015346,LNU03015349,525,1.0,OK
ages=75 years and over | Employed,LNU02024942,LNU02015346,LNU02015349,545,1.0,OK
ages=75 years and over | Civilian labor force,LNU01024942,LNU01015346,LNU01015349,545,1.0,OK
ages=75 years and over | Civilian noninstitutional population,LNU00024942,LNU00015346,LNU00015349,545,1.0,OK
ages=70 to 74 years | Not in labor force,LNU05024941,LNU05024939,LNU05024940,473,1.0,OK
ages=70 to 74 years | Unemployed,LNU03024941,LNU03024939,LNU03024940,545,1.0,OK
ages=70 to 74 years | Employed,LNU02024941,LNU02024939,LNU02024940,545,1.0,OK
ages=70 to 74 years | Civilian labor force,LNU01024941,LNU01024939,LNU01024940,545,1.0,OK
ages=70 to 74 years | Civilian noninstitutional population,LNU00024941,LNU00024939,LNU00024940,545,1.0,OK
ages=65 to 69 years | Not in labor force,LNU05024938,LNU05000203,LNU05000358,533,1.0,OK
ages=65 to 69 years | Unemployed,LNU03024938,LNU03000203,LNU03000358,600,1.0,OK
ages=65 to 69 years | Employed,LNU02024938,LNU02000203,LNU02000358,545,1.0,OK
ages=65 to 69 years | Civilian labor force,LNU01024938,LNU01000203,LNU01000358,545,1.0,OK
ages=65 to 69 years | Civilian noninstitutional population,LNU00024938,LNU00000203,LNU00000358,545,1.0,OK
ages=65 years and over | Employed,LNU02000097,LNU02000199,LNU02000354,941,1.0,OK
ages=65 years and over | Civilian labor force,LNU01000097,LNU01000199,LNU01000354,941,1.0,OK
duration=27 weeks and over | Unemployed,LNU03008636,LNU03008654,LNU03008675,600,1.0,OK
duration=99 weeks and over | Unemployed,LNU03081891,LNU03081892,LNU03081893,161,1.0,OK
education=Less than a High School diploma | Civilian labor force,LNU01027659,LNU01027675,LNU01027679,413,1.0,OK
education=Less than a High School diploma | Employed,LNU02027659,LNU02027675,LNU02027679,413,1.0,OK
education=Bachelor's degree and higher | Unemployed,LNU03027662,LNU03027678,LNU03027682,413,1.0,OK
education=Bachelor's degree and higher | Employed,LNU02027662,LNU02027678,LNU02027682,413,1.0,OK
education=Bachelor's degree and higher | Civilian labor force,LNU01027662,LNU01027678,LNU01027682,413,1.0,OK
education=Associate degree | Unemployed,LNU03027683,LNU03027687,LNU03027688,413,1.0,OK
education=Associate degree | Employed,LNU02027683,LNU02027687,LNU02027688,413,1.0,OK
education=Associate degree | Civilian labor force,LNU01027683,LNU01027687,LNU01027688,413,1.0,OK
"education=Some college, no degree | Unemployed",LNU03027661,LNU03027677,LNU03027681,413,1.0,OK
"education=Some college, no degree | Employed",LNU02027661,LNU02027677,LNU02027681,413,1.0,OK
"education=Some college, no degree | Civilian labor force",LNU01027661,LNU01027677,LNU01027681,413,1.0,OK
education=Some college or associate degree | Unemployed,LNU03027689,LNU03027693,LNU03027694,413,1.0,OK
education=Some college or associate degree | Civilian labor force,LNU01027689,LNU01027693,LNU01027694,413,1.0,OK
"education=High School graduates, no college | Unemployed",LNU03027660,LNU03027676,LNU03027680,413,1.0,OK
"education=High School graduates, no college | Employed",LNU02027660,LNU02027676,LNU02027680,413,1.0,OK
"education=High School graduates, no college | Civilian labor force",LNU01027660,LNU01027676,LNU01027680,413,1.0,OK
education=Less than a High School diploma | Unemployed,LNU03027659,LNU03027675,LNU03027679,413,1.0,OK
born=Foreign born | Not in labor force,LNU05073395,LNU05073396,LNU05073397,233,1.0,OK
vets=Veteran | Civilian noninstitutional population,LNU00049526,LNU00049527,LNU00049528,317,0.0,OK
