triple,both_id,men_id,women_id,months,max_abs_error_000s,status
ALL 16+ | Employed part time (persons who usually work less than 35 hours),LNU02600000,LNU02600001,LNU02600002,701,631.0,4 fail
"occupation=Education, training, and library occupations | Employed",LNU02032460,LNU02032478,LNU02032536,317,1.0,OK
orig=Non-Hispanic | Civilian noninstitutional population,LNU00092169,LNU00092170,LNU00092171,125,1.0,OK
orig=Non-Hispanic | Civilian labor force,LNU01092169,LNU01092170,LNU01092171,125,1.0,OK
occupation=Management occupations | Employed,LNU02032453,LNU02032470,LNU02032528,317,1.0,OK
occupation=Food preparation and serving related occupations | Employed,LNU02032465,LNU02032484,LNU02032542,317,1.0,OK
"occupation=Arts, design, entertainment, sports, and media occupations | Employed",LNU02032461,LNU02032479,LNU02032537,317,1.0,OK
occupation=Office and administrative support occupations | Employed,LNU02032207,LNU02032489,LNU02032547,521,1.0,OK
"occupation=Installation, maintenance, and repair occupations | Employed",LNU02032211,LNU02032493,LNU02032551,521,1.0,OK
occupation=Construction and extraction occupations | Employed,LNU02032210,LNU02032492,LNU02032550,521,1.0,OK
"occupation=Farming, fishing, and forestry occupations | Employed",LNU02032209,LNU02032491,LNU02032549,521,1.0,OK
"occupation=Natural resources, construction, and maintenance occupations | Employed",LNU02032208,LNU02032490,LNU02032548,521,1.0,OK
orig=Hispanic or Latino | Employed part time (persons who usually work less than 35 hours),LNU02600009,LNU02600010,LNU02600011,101,1.0,OK
orig=Mexican | Civilian noninstitutional population,LNU00018240,LNU00022365,LNU00022368,281,1.0,OK
orig=Hispanic or Latino | Employed full time (persons who usually work 35 hours or more),LNU02500009,LNU02500010,LNU02500011,101,1.0,OK
orig=Mexican | Civilian labor force,LNU01018240,LNU01022365,LNU01022368,281,1.0,OK
orig=Mexican | Employed,LNU02018240,LNU02022365,LNU02022368,281,1.0,OK
occupation=Transportation and material moving occupations | Employed,LNU02032214,LNU02032496,LNU02032554,521,1.0,OK
orig=Mexican | Unemployed,LNU03018240,LNU03022365,LNU03022368,281,1.0,OK
orig=Mexican | Not in labor force,LNU05018240,LNU05022365,LNU05022368,281,1.0,OK
orig=Puerto Rican | Civilian noninstitutional population,LNU00018241,LNU00022366,LNU00022369,281,1.0,OK
occupation=Healthcare practitioners and technical occupations | Employed,LNU02032462,LNU02032480,LNU02032538,317,1.0,OK
orig=Puerto Rican | Civilian labor force,LNU01018241,LNU01022366,LNU01022369,281,1.0,OK
orig=Puerto Rican | Employed,LNU02018241,LNU02022366,LNU02022369,281,1.0,OK
orig=Puerto Rican | Unemployed,LNU03018241,LNU03022366,LNU03022369,281,1.0,OK
orig=Puerto Rican | Not in labor force,LNU05018241,LNU05022366,LNU05022369,281,1.0,OK
orig=Cuban | Civilian noninstitutional population,LNU00018242,LNU00022367,LNU00022370,281,1.0,OK
occupation=Sales and related occupations | Employed,LNU02032206,LNU02032488,LNU02032546,521,1.0,OK
occupation=Sales and office occupations | Employed,LNU02032205,LNU02032487,LNU02032545,521,1.0,OK
occupation=Personal care and service occupations | Employed,LNU02032467,LNU02032486,LNU02032544,317,1.0,OK
occupation=Building and grounds cleaning and maintenance occupations | Employed,LNU02032466,LNU02032485,LNU02032543,317,1.0,OK
occupation=Protective service occupations | Employed,LNU02032464,LNU02032483,LNU02032541,317,1.0,OK
occupation=Healthcare support occupations | Employed,LNU02032463,LNU02032482,LNU02032540,317,1.0,OK
occupation=Service occupations | Employed,LNU02032204,LNU02032481,LNU02032539,521,1.0,OK
occupation=Production occupations | Employed,LNU02032213,LNU02032495,LNU02032553,521,1.0,OK
orig=Other Hispanic or Latino (excludes Dominican) | Unemployed,LNU03083447,LNU03083448,LNU03083449,149,1.0,OK
orig=Central or South American | Unemployed,LNU03092166,LNU03092167,LNU03092168,149,1.0,OK
vets=Gulf War Era | Not in labor force,LNU05049571,LNU05049572,LNU05049573,241,1.0,OK
vets=Veterans who served in Gulf War Era 1 but not Gulf War Era 2 | Unemployed,LNU03066415,LNU03066420,LNU03066421,213,1.0,OK
